开盘,收盘,日期
0.6335271,0.6370834,2020-01-02
0.6370834,0.6264146,2020-01-03
0.6233663,0.6299708,2020-01-06
0.6248904,0.6340352,2020-01-07
0.6274306,0.6238744,2020-01-08
0.632511,0.6614694,2020-01-09
0.6614694,0.6604533,2020-01-10
0.6609613,0.6635016,2020-01-13
0.6604533,0.6518166,2020-01-14
0.6594372,0.6589292,2020-01-15
0.656897,0.6721382,2020-01-16
0.6782348,0.6889036,2020-01-17
0.6904277,0.7036368,2020-01-20
0.7158298,0.7742545,2020-01-21
0.7823831,0.7849233,2020-01-22
0.8103254,0.7620615,2020-01-23
0.8382676,0.8382676,2020-02-03
0.8382676,0.8631617,2020-02-04
0.903805,0.8631617,2020-02-05
0.8463963,0.8321711,2020-02-06
0.8321711,0.7747625,2020-02-07
0.8108334,0.7519007,2020-02-10
0.7519007,0.7519007,2020-02-11
0.7513926,0.7661259,2020-02-12
0.7661259,0.7366595,2020-02-13
0.7559651,0.7513926,2020-02-14
0.7513926,0.780859,2020-02-17
0.7778108,0.7737464,2020-02-18
0.7737464,0.7595213,2020-02-19
0.7595213,0.7732384,2020-02-20
0.7732384,0.7849233,2020-02-21
0.7844153,0.829631,2020-02-24
0.8230264,0.854525,2020-02-25
0.8463963,0.8138817,2020-02-26
0.8169299,0.8164219,2020-02-27
0.793052,0.7864475,2020-02-28
0.7925439,0.8128656,2020-03-02
0.8138817,0.8504606,2020-03-03
0.8530009,0.8418239,2020-03-04
0.8530009,0.855033,2020-03-05
0.8580813,0.8641777,2020-03-06
0.8682421,0.8347114,2020-03-09
0.8479204,0.830139,2020-03-10
0.830139,0.8113415,2020-03-11
0.8174379,0.7778108,2020-03-12
0.7000805,0.7539328,2020-03-13
0.7869555,0.7229424,2020-03-16
0.7224343,0.7021127,2020-03-17
0.7112574,0.6960162,2020-03-18
0.6706141,0.6675659,2020-03-19
0.6863633,0.6924599,2020-03-20
0.6909358,0.6706141,2020-03-23
0.6822991,0.6914438,2020-03-24
0.7214182,0.743264,2020-03-25
0.7458042,0.7757786,2020-03-26
0.7833992,0.7696821,2020-03-27
0.7620615,0.7407237,2020-03-30
0.7488524,0.7361514,2020-03-31
0.7397077,0.7295468,2020-04-01
0.7325951,0.7427559,2020-04-02
0.7600294,0.7458042,2020-04-03
0.7519007,0.7773027,2020-04-07
0.7833992,0.7747625,2020-04-08
0.7788268,0.8128656,2020-04-09
0.8204862,0.8021967,2020-04-10
0.8108334,0.8067691,2020-04-13
0.8123575,0.8154058,2020-04-14
0.8245506,0.8138817,2020-04-15
0.8128656,0.8382676,2020-04-16
0.8474124,0.8316631,2020-04-17
0.8326792,0.8585893,2020-04-20
0.8611295,0.8499526,2020-04-21
0.8499526,0.8530009,2020-04-22
0.8585893,0.867734,2020-04-23
0.8626536,0.8367435,2020-04-24
0.8362355,0.8463963,2020-04-27
0.8524928,0.8524928,2020-04-28
0.8611295,0.8377596,2020-04-29
0.8408079,0.8209943,2020-04-30
0.8270907,0.8448722,2020-05-06
0.8453802,0.8479204,2020-05-07
0.8524928,0.8631617,2020-05-08
0.8631617,0.8530009,2020-05-11
0.8601134,0.8692582,2020-05-12
0.8733225,0.9205703,2020-05-13
0.929715,0.9088854,2020-05-14
0.9134577,0.9027888,2020-05-15
0.9063452,0.9312391,2020-05-18
0.9393678,0.9342874,2020-05-19
0.9342874,0.9134577,2020-05-20
0.9154899,0.9210783,2020-05-21
0.9231105,0.8870396,2020-05-22
0.8966923,0.8880557,2020-05-25
0.8936441,0.9241266,2020-05-26
0.9149818,0.8987246,2020-05-27
0.903805,0.8880557,2020-05-28
0.8834833,0.9073612,2020-05-29
0.903805,0.9490206,2020-06-01
0.954609,0.929715,2020-06-02
0.9429241,0.9373357,2020-06-03
0.9383518,0.9444482,2020-06-04
0.9444482,0.954609,2020-06-05
0.9561331,0.9317472,2020-06-08
0.9347954,0.9480045,2020-06-09
0.9510527,0.9962684,2020-06-10
1.002873,0.9850915,2020-06-11
1.047,1.094,2020-06-15
1.108,1.115,2020-06-16
1.124,1.163,2020-06-17
1.169,1.13,2020-06-18
1.14,1.149,2020-06-19
1.149,1.152,2020-06-22
1.162,1.233,2020-06-23
1.23,1.235,2020-06-24
1.235,1.316,2020-06-29
1.328,1.38,2020-06-30
1.38,1.338,2020-07-01
1.363,1.286,2020-07-02
1.299,1.332,2020-07-03
1.337,1.435,2020-07-06
1.516,1.45,2020-07-07
1.466,1.46,2020-07-08
1.47,1.501,2020-07-09
1.501,1.6,2020-07-10
1.522,1.674,2020-07-13
1.735,1.669,2020-07-14
1.6,1.714,2020-07-15
1.714,1.579,2020-07-16
1.572,1.563,2020-07-17
1.619,1.559,2020-07-20
1.564,1.58,2020-07-21
1.586,1.625,2020-07-22
1.639,1.635,2020-07-23
1.634,1.525,2020-07-24
1.524,1.545,2020-07-27
1.569,1.55,2020-07-28
1.558,1.648,2020-07-29
1.694,1.616,2020-07-30
1.639,1.62,2020-07-31
1.628,1.639,2020-08-03
1.648,1.648,2020-08-04
1.653,1.65,2020-08-05
1.657,1.63,2020-08-06
1.628,1.599,2020-08-07
1.598,1.598,2020-08-10
1.598,1.58,2020-08-11
1.542,1.479,2020-08-12
1.498,1.451,2020-08-13
1.47,1.46,2020-08-14
1.469,1.463,2020-08-17
1.467,1.484,2020-08-18
1.466,1.411,2020-08-19
1.45,1.427,2020-08-20
1.439,1.458,2020-08-21
1.479,1.467,2020-08-24
1.474,1.469,2020-08-25
1.478,1.49,2020-08-26
1.48,1.51,2020-08-27
1.542,1.583,2020-08-28
1.618,1.595,2020-08-31
1.594,1.576,2020-09-01
1.589,1.575,2020-09-02
1.587,1.567,2020-09-03
1.554,1.506,2020-09-04
1.52,1.447,2020-09-07
1.447,1.444,2020-09-08
1.422,1.3,2020-09-09
1.319,1.307,2020-09-10
1.308,1.302,2020-09-11
1.319,1.307,2020-09-14
1.318,1.317,2020-09-15
1.324,1.287,2020-09-16
1.288,1.25,2020-09-17
1.263,1.267,2020-09-18
1.279,1.255,2020-09-21
1.258,1.266,2020-09-22
1.277,1.311,2020-09-23
1.3,1.25,2020-09-24
1.272,1.267,2020-09-25
1.279,1.259,2020-09-28
1.264,1.294,2020-09-29
1.3,1.324,2020-09-30
1.325,1.387,2020-10-09
1.395,1.47,2020-10-12
1.487,1.494,2020-10-13
1.507,1.502,2020-10-14
1.508,1.473,2020-10-15
1.488,1.488,2020-10-16
1.416,1.456,2020-10-20
1.459,1.456,2020-10-21
1.459,1.431,2020-10-22
1.439,1.386,2020-10-23
1.399,1.393,2020-10-26
1.395,1.43,2020-10-27
1.442,1.454,2020-10-28
1.454,1.513,2020-10-29
1.527,1.474,2020-10-30
1.494,1.462,2020-11-02
1.478,1.492,2020-11-03
1.494,1.495,2020-11-04
1.5,1.486,2020-11-05
1.485,1.429,2020-11-06
1.444,1.477,2020-11-09
1.484,1.436,2020-11-10
1.455,1.384,2020-11-11
1.435,1.41,2020-11-12
1.419,1.395,2020-11-13
1.392,1.412,2020-11-16
1.419,1.365,2020-11-17
1.373,1.3,2020-11-18
1.3,1.317,2020-11-19
1.277,1.332,2020-11-20
1.301,1.319,2020-11-23
1.311,1.299,2020-11-24
1.25,1.248,2020-11-25
1.243,1.248,2020-11-26
1.249,1.243,2020-11-27
1.25,1.241,2020-11-30
1.253,1.3,2020-12-01
1.329,1.296,2020-12-02
1.296,1.359,2020-12-03
1.369,1.376,2020-12-04
1.373,1.38,2020-12-07
1.389,1.393,2020-12-08
1.398,1.354,2020-12-09
1.354,1.385,2020-12-10
1.385,1.38,2020-12-11
1.379,1.415,2020-12-14
1.415,1.443,2020-12-15
1.463,1.452,2020-12-16
1.464,1.495,2020-12-17
1.488,1.476,2020-12-18
1.456,1.505,2020-12-21
1.495,1.526,2020-12-22
1.53,1.504,2020-12-23
1.495,1.5,2020-12-24
1.458,1.538,2020-12-25
1.525,1.534,2020-12-28
1.536,1.534,2020-12-29
1.542,1.547,2020-12-30
1.542,1.583,2020-12-31
