收盘,日期
1.163,2024-01-25
1.168,2024-01-26
1.156,2024-01-29
1.133,2024-01-30
1.116,2024-01-31
1.106,2024-02-01
1.081,2024-02-02
1.06,2024-02-05
1.119,2024-02-06
1.18,2024-02-07
1.184,2024-02-08
1.179,2024-02-19
1.185,2024-02-20
1.187,2024-02-21
1.194,2024-02-22
1.196,2024-02-23
1.193,2024-02-26
1.206,2024-02-27
1.201,2024-02-28
1.219,2024-02-29
1.217,2024-03-01
1.22,2024-03-04
1.219,2024-03-05
1.217,2024-03-06
1.214,2024-03-07
1.226,2024-03-08
1.23,2024-03-11
1.217,2024-03-12
1.209,2024-03-13
1.213,2024-03-14
1.225,2024-03-15
1.233,2024-03-18
1.221,2024-03-19
1.219,2024-03-20
1.215,2024-03-21
1.202,2024-03-22
1.196,2024-03-25
1.196,2024-03-26
1.18,2024-03-27
1.189,2024-03-28
1.206,2024-03-29
1.226,2024-04-01
1.232,2024-04-02
1.241,2024-04-03
1.231,2024-04-08
1.23,2024-04-09
1.229,2024-04-10
1.245,2024-04-11
1.237,2024-04-12
1.259,2024-04-15
1.236,2024-04-16
1.264,2024-04-17
1.265,2024-04-18
1.268,2024-04-19
1.251,2024-04-22
1.224,2024-04-23
1.232,2024-04-24
1.236,2024-04-25
1.254,2024-04-26
1.266,2024-04-29
1.267,2024-04-30
1.29,2024-05-06
1.287,2024-05-07
1.276,2024-05-08
1.297,2024-05-09
1.3,2024-05-10
1.303,2024-05-13
1.303,2024-05-14
1.29,2024-05-15
1.286,2024-05-16
1.301,2024-05-17
1.308,2024-05-20
1.29,2024-05-21
1.294,2024-05-22
1.27,2024-05-23
1.269,2024-05-24
1.284,2024-05-27
1.272,2024-05-28
1.276,2024-05-29
1.264,2024-05-30
1.265,2024-05-31
1.249,2024-06-03
1.27,2024-06-04
1.252,2024-06-05
1.244,2024-06-06
1.251,2024-06-07
1.234,2024-06-11
1.241,2024-06-12
1.227,2024-06-13
1.23,2024-06-14
1.22,2024-06-17
1.223,2024-06-18
1.213,2024-06-19
1.197,2024-06-20
1.199,2024-06-21
1.179,2024-06-24
1.182,2024-06-25
1.192,2024-06-26
1.171,2024-06-27
1.178,2024-06-28
1.204,2024-07-01
1.193,2024-07-02
1.183,2024-07-03
1.165,2024-07-04
1.173,2024-07-05
1.151,2024-07-08
1.17,2024-07-09
