收盘,日期
1.154,2025-09-26
1.163,2025-09-29
1.168,2025-09-30
1.192,2025-10-09
1.193,2025-10-10
1.189,2025-10-13
1.191,2025-10-14
1.2,2025-10-15
1.198,2025-10-16
1.184,2025-10-17
1.187,2025-10-20
1.196,2025-10-21
1.198,2025-10-22
1.21,2025-10-23
1.212,2025-10-24
1.225,2025-10-27
1.213,2025-10-28
1.229,2025-10-29
1.231,2025-10-30
1.225,2025-10-31
1.234,2025-11-03
1.219,2025-11-04
1.222,2025-11-05
1.248,2025-11-06
1.255,2025-11-07
1.275,2025-11-10
1.268,2025-11-11
1.278,2025-11-12
1.286,2025-11-13
1.28,2025-11-14
1.261,2025-11-17
1.243,2025-11-18
1.254,2025-11-19
1.246,2025-11-20
1.221,2025-11-21
1.216,2025-11-24
1.223,2025-11-25
1.223,2025-11-26
1.222,2025-11-27
1.226,2025-11-28
1.249,2025-12-01
1.244,2025-12-02
1.252,2025-12-03
1.251,2025-12-04
1.266,2025-12-05
1.259,2025-12-08
1.236,2025-12-09
1.241,2025-12-10
1.233,2025-12-11
1.239,2025-12-12
1.241,2025-12-15
1.229,2025-12-16
1.244,2025-12-17
1.246,2025-12-18
1.253,2025-12-19
1.254,2025-12-22
1.253,2025-12-23
1.256,2025-12-24
1.256,2025-12-25
1.264,2025-12-26
1.263,2025-12-29
1.272,2025-12-30
1.274,2025-12-31
1.28,2026-01-05
1.308,2026-01-06
1.293,2026-01-07
1.287,2026-01-08
1.295,2026-01-09
1.297,2026-01-12
1.303,2026-01-13
1.302,2026-01-14
1.306,2026-01-15
1.302,2026-01-16
1.317,2026-01-19
1.331,2026-01-20
1.333,2026-01-21
1.349,2026-01-22
1.352,2026-01-23
