收盘,日期
1.622,2025-09-26
1.636,2025-09-29
1.668,2025-09-30
1.673,2025-10-09
1.622,2025-10-10
1.591,2025-10-13
1.547,2025-10-14
1.572,2025-10-15
1.557,2025-10-16
1.501,2025-10-17
1.534,2025-10-20
1.568,2025-10-21
1.539,2025-10-22
1.553,2025-10-23
1.567,2025-10-24
1.598,2025-10-27
1.579,2025-10-28
1.594,2025-10-29
1.559,2025-10-30
1.542,2025-10-31
1.546,2025-11-03
1.527,2025-11-04
1.508,2025-11-05
1.537,2025-11-06
1.513,2025-11-07
1.528,2025-11-10
1.527,2025-11-11
1.538,2025-11-12
1.554,2025-11-13
1.511,2025-11-14
1.487,2025-11-17
1.468,2025-11-18
1.464,2025-11-19
1.443,2025-11-20
1.42,2025-11-21
1.435,2025-11-24
1.443,2025-11-25
1.45,2025-11-26
1.439,2025-11-27
1.441,2025-11-28
1.45,2025-12-01
1.441,2025-12-02
1.422,2025-12-03
1.435,2025-12-04
1.453,2025-12-05
1.453,2025-12-08
1.426,2025-12-09
1.427,2025-12-10
1.417,2025-12-11
1.439,2025-12-12
1.41,2025-12-15
1.38,2025-12-16
1.392,2025-12-17
1.374,2025-12-18
1.4,2025-12-19
1.406,2025-12-22
1.397,2025-12-23
1.399,2025-12-24
1.4,2025-12-25
1.407,2025-12-26
1.397,2025-12-29
1.416,2025-12-30
1.393,2025-12-31
1.448,2026-01-05
1.473,2026-01-06
1.445,2026-01-07
1.429,2026-01-08
1.439,2026-01-09
1.473,2026-01-12
1.473,2026-01-13
1.488,2026-01-14
1.467,2026-01-15
1.461,2026-01-16
1.449,2026-01-19
1.434,2026-01-20
1.44,2026-01-21
1.444,2026-01-22
1.454,2026-01-23
