开盘,收盘,日期
1.002,1.0,2025-11-27
0.999,1.003,2025-11-28
1.004,1.005,2025-12-01
1.003,0.991,2025-12-02
0.989,0.986,2025-12-03
0.985,0.981,2025-12-04
0.985,1.0,2025-12-05
1.0,1.012,2025-12-08
1.011,1.018,2025-12-09
1.021,1.006,2025-12-10
1.005,0.996,2025-12-11
0.997,1.011,2025-12-12
1.007,1.003,2025-12-15
1.004,0.973,2025-12-16
0.975,0.992,2025-12-17
0.983,0.976,2025-12-18
0.976,0.984,2025-12-19
0.985,0.993,2025-12-22
0.99,0.995,2025-12-23
0.998,1.01,2025-12-24
1.01,1.016,2025-12-25
1.02,1.036,2025-12-26
1.039,1.033,2025-12-29
1.033,1.023,2025-12-30
1.023,1.012,2025-12-31
1.01,1.025,2026-01-05
1.022,1.05,2026-01-06
1.049,1.056,2026-01-07
1.057,1.072,2026-01-08
1.072,1.068,2026-01-09
1.068,1.089,2026-01-12
1.101,1.085,2026-01-13
1.085,1.087,2026-01-14
1.071,1.095,2026-01-15
1.11,1.109,2026-01-16
1.105,1.132,2026-01-19
1.133,1.103,2026-01-20
1.099,1.098,2026-01-21
1.118,1.112,2026-01-22
1.115,1.216,2026-01-23
1.217,1.172,2026-01-26
1.154,1.19,2026-01-27
